425, количество городов (предел 1500);
Gorod;tн1;tн2;tн3;n
Александровск-Сахалинский (Сахалинская обл.);-27;-18.0;-6.2;240
Долинск (Сахалинская обл.);-24;-13.5;-4;231
Кировское (Сахалинская обл.);-36;-23.6;-9.2;246
Корсаков (Сахалинская обл.);-20;-10.7;-2.7;232
Курильск (Сахалинская обл.);-15;-5.2;-0.2;227
Макаров (Сахалинская обл.);-23;-14.3;-4.2;241
Невельск (Сахалинская обл.);-16;-8.6;-1.8;218
Ноглики (Сахалинская обл.);-32;-19.7;-7.2;260
Оха (Сахалинская обл.);-29;-19.7;-7.3;266
Погиби (Сахалинская обл.);-30;-20.7;-8.2;255
Поронайск (Сахалинская обл.);-28;-17.3;-5.5;249
Рыбновск (Сахалинская обл.);-33;-22.3;-8.9;255
Холмск (Сахалинская обл.);-18;-9.7;-2.3;220
Южно-Курильск (Сахалинская обл.);-12;-5.0;0.1;228
Южно-Сахалинск (Сахалинская обл.);-24;-13.7;-4.3;230
Владикавказ (р. Северная Осетия);-18;-4.4;0.4;174
Вязьма (Смоленская обл.);-27;-9.8;-2.8;217
Смоленск (Смоленская обл.);-26;-9.4;-2.4;215
Арзгир(Ставропольский край);-22;-4.9;0.1;163
Ставрополь(Ставропольский край);-19;-3.2;0.9;168
Тамбов (Тамбовская обл.);-28;-10.9;-3.7;201
Бугульма (р. Татарстан);-33;-14.3;-5.8;221
Елабуга (р. Татарстан);-34;-13.9;-5.5;215
Казань (р. Татарстан);-32;-13.5;-5.2;215
Бежецк (Тверская обл.);-31;-10.7;-3.4;222
Тверь (Тверская обл.);-29;-10.5;-3;218
Ржев (Тверская обл.);-28;-10.0;-2.7;217
Александровское (Томская обл.);-42;-21.5;-9.6;252
Колпашево (Томская обл.);-42;-20.7;-9.1;243
Средний Васюган (Томская обл.);-41;-20.4;-8.8;244
Томск (Томская обл.);-40;-19.1;-8.4;236
Усть-Озерное (Томская обл.);-43;-21.5;-9.5;248
Кызыл (р. Тыва);-47;-32.1;-15;225
Тула (Тульская обл.);-27;-19.9;-3;207
Березово - Ханты-Мансийский АО (Тюменская обл.);-43;-22.3;-9.7;267
Демьянское (Тюменская обл.);-40;-19.2;-8;241
Кондинское - Ханты-Мансийский АО (Тюменская обл.);-40;-19.8;-8.6;238
Леуши (Тюменская обл.);-39;-18.1;-7.4;238
Марресаля (Тюменская обл.);-39;-21.8;-8.1;365
Надым (Тюменская обл.);-44;-24.5;-11.6;283
Октябрьское (Тюменская обл.);-41;-22.8;-9;261
Салехард (Тюменская обл.);-42;-24.5;-11.4;292
Сосьва (Тюменская обл.);-44;-22.7;-9.5;261
Сургут - Ханты-Мансийский АО (Тюменская обл.);-43;-22.0;-9.9;257
Тарко-Сале - Ямало-Ненецкий АО (Тюменская обл.);-46;-25.1;-12.2;278
Тобольск (Тюменская обл.);-39;-19.7;-8.1;232
Тюмень (Тюменская обл.);-38;-17.4;-7.2;225
Угут (Тюменская обл.);-42;-21.0;-9.1;251
Уренгой - Ямало-Ненецкий АО (Тюменская обл.);-46;-26.4;-13.1;286
Ханты-Мансийск - Ханты-Мансийский АО (Тюменская обл.);-41;-21.7;-8.8;250
Глазов (р. Удмуртия);-35;-14.9;-6;231
Ижевск (р. Удмуртия);-34;-14.6;-5.6;222
Сарапул (р. Удмуртия);-34;-14.3;-5.9;220
Сурское (Ульяновская обл.);-31;-13.2;-4.8;211
Ульяновск (Ульяновская обл.);-31;-13.8;-5.4;212
Аян (Хабаровский край);-28;-19.7;-7.4;278
Байдуков (Хабаровский край);-31;-21.7;-9;255
Бикин (Хабаровский край);-32;-22.4;-9.1;208
Бира (Хабаровский край);-31;-22.0;-9.1;220
Биробиджан (Хабаровский край);-32;-22.6;-10.4;219
Вяземский (Хабаровский край);-31;-22.3;-9.3;213
Гвасюги (Хабаровский край);-35;-24.9;-10.4;228
Гроссевичи (Хабаровский край);-22;-14.8;-4.3;248
Де-Кастри (Хабаровский край);-27;-19.4;-6.9;256
Джаорэ (Хабаровский край);-30;-20.2;-7.9;252
Екатерино-Никольское (Хабаровский край);-30;-21.2;-8.8;213
Комсомольск-на-Амуре (Хабаровский край);-35;-25.6;-10.8;223
Нижнетамбовское (Хабаровский край);-36;-26.4;-10.9;229
Николаевск-на-Амуре (Хабаровский край);-35;-23.9;-9.6;249
Облучье (Хабаровский край);-36;-26.5;-11.5;227
Охотск (Хабаровский край);-33;-23.0;-9.5;280
Им. Полины Осипенко (Хабаровский край);-41;-29.3;-12.2;240
Сизиман (Хабаровский край);-26;-18.2;-6.2;263
Советская Гавань (Хабаровский край);-27;-18.0;-6;243
Софийский Прииск (Хабаровский край);-43;-33.3;-14.3;268
Средний Ургал (Хабаровский край);-40;-31.1;-13.3;238
Троицкое (Хабаровский край);-31;-23.3;-9.7;217
Хабаровск (Хабаровский край);-31;-22.3;-9.3;211
Чумикан (Хабаровский край);-32;-23.7;-8.8;274
Энкэн (Хабаровский край);-28;-20.2;-7.7;281
Абакан (р. Хакассия);-40;-25.5;-9.7;225
Шира (р. Хакассия);-38;-18.5;-7.7;236
Челябинск (Челябинская обл.);-34;-15.8;-6.5;218
Грозный (р. Чечня);-18;-3.8;0.9;160
Агинское (Читинская обл.);-36;-23.3;-10.4;238
Акша (Читинская обл.);-34;-22.6;-9.6;237
Александровский Завод (Читинская обл.);-38;-26.8;-12;250
Борзя (Читинская обл.);-40;-26.9;-12;236
Дарасун (Читинская обл.);-34;-22.0;-9.5;247
Калакан (Читинская обл.);-47;-35.5;-16;260
Красный Чикой (Читинская обл.);-39;-26.2;-10.9;244
Могоча (Читинская обл.);-41;-29.6;-13.4;254
Нерчинск (Читинская обл.);-44;-30.8;-14.1;233
Нерчинский Завод (Читинская обл.);-41;-28.6;-12.7;237
Средний Калар (Читинская обл.);-46;-36.3;-16.4;271
Тунгокочен (Читинская обл.);-45;-31.0;-13.8;262
Тупик (Читинская обл.);-44;-32.7;-14.8;260
Чара (Читинская обл.);-46;-33.8;-15.5;267
Чита (Читинская обл.);-38;-26.2;-11.4;242
Порецкое (Чувашская Республика - Чаваш республики);-31;-12.4;-4.6;212
Чебоксары (Чувашская Республика - Чаваш республики);-32;-13.0;-4.9;217
Анадырь(Чукотский АО (Магаданская обл.));-40;-19.7;-10.5;311
Марково(Чукотский АО (Магаданская обл.));-48;-25.8;-14.3;286
Островное(Чукотский АО (Магаданская обл.));-51;-33.6;-17.8;288
Усть-Олой(Чукотский АО (Магаданская обл.));-51;-35.6;-18.4;286
Эньмувеем(Чукотский АО (Магаданская обл.));-48;-23.9;-14.5;294
Алдан (р. Саха (Якутия));-42;-27.5;-13.3;267
Аллах-Юнь (р. Саха (Якутия));-54;-44.1;-21.4;280
Амга (р. Саха (Якутия));-55;-42.9;-21.3;259
Батамай (р. Саха (Якутия));-52;-41.8;-20.8;265
Бердигястях (р. Саха (Якутия));-54;-40.5;-19.6;268
Буяга (р. Саха (Якутия));-52;-37.6;-18.2;266
Верхоянск (р. Саха (Якутия));-59;-48.2;-24.1;279
Вилюйск (р. Саха (Якутия));-52;-37.8;-18.2;262
Витим (р. Саха (Якутия));-51;-29.2;-13.7;257
Воронцово (р. Саха (Якутия));-51;-37.9;-19.6;297
Джалинда (р. Саха (Якутия));-56;-39.4;-19.5;296
Джарджан (р. Саха (Якутия));-52;-38.6;-19;284
Джикимда (р. Саха (Якутия));-51;-34.7;-16.5;259
Дружина (р. Саха (Якутия));-52;-39.4;-20.2;284
Екючю (р. Саха (Якутия));-58;-45.9;-23;281
Жиганск (р. Саха (Якутия));-51;-39.3;-19.3;278
Зырянка (р. Саха (Якутия));-51;-36.8;-19.2;274
Исить (р. Саха (Якутия));-50;-35.8;-17.4;256
Иэма (р. Саха (Якутия));-57;-45.5;-22.9;292
Крест-Хальджай (р. Саха (Якутия));-55;-45.1;-22.1;256
Кюсюр (р. Саха (Якутия));-54;-38.0;-18.7;298
Ленск (р. Саха (Якутия));-49;-29.8;-14.2;259
Нагорный (р. Саха (Якутия));-41;-29.6;-14.2;275
Нера (р. Саха (Якутия));-58;-46.3;-23.8;272
Нюрба (р. Саха (Якутия));-52;-36.0;-17.7;263
Нюя (р. Саха (Якутия));-50;-30.0;-14.2;253
Оймякон (р. Саха (Якутия));-60;-47.5;-24.3;286
Олекминск (р. Саха (Якутия));-50;-32.2;-15.3;256
Оленек (р. Саха (Якутия));-57;-41.3;-20;290
Охотский Перевоз (р. Саха (Якутия));-55;-44.2;-21.7;260
Сангар (р. Саха (Якутия));-50;-39.1;-19.6;261
